id,name,organization
alessio-carenini,Alessio Carenini,CEFRIEL
oscar-corcho,Oscar Corcho,Universidad Politécnica de Madrid
matteo-giovanni-rossi,Matteo Giovanni Rossi,Politecnico di Milano
julián-rojas,Julián Rojas,imec - IDLab UGent
ruben-taelman,Ruben Taelman,imec - IDLab UGent
irene-celino,Irene Celino,CEFRIEL
riccardo-santoro,Riccardo Santoro,Ferrovie dello Stato Italiane
letizia-tanca,Letizia Tanca,Politecnico di Milano
edna-ruckhaus,Edna Ruckhaus,Universidad Politécnica de Madrid
marlene-goncalves,Marlene Gonçalves,Universidad Simón Bolivar 
